kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
9753154,K02457.01,Kepler-1244 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,3.704290150,2.5610000e-05,-2.5610000e-05,132.2147800,5.560000e-03,-5.560000e-03,0.0010,0.4480,-0.0010,3.37000,0.16500,-0.16500,5.5700e+01,4.200e+00,-4.200e+00,1.45,3.100e-01,-4.500e-01,1839.0,,,2708.57,1645.31,-1578.00,15.90,1,q1_q17_dr25_tce,6732.00,163.00,-204.00,3.958,0.273,-0.117,1.9270,0.4020,-0.6030,282.301210,46.516201,12.402
9011825,K02530.01,Kepler-1269 b,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,37.333116500,3.5140000e-04,-3.5140000e-04,162.9045300,7.350000e-03,-7.350000e-03,0.8510,0.0710,-0.6360,7.64300,0.20000,-0.20000,1.8780e+02,9.600e+00,-9.600e+00,2.50,3.800e-01,-5.700e-01,657.0,,,44.17,17.75,-19.30,22.50,1,q1_q17_dr25_tce,5623.00,75.00,-75.00,4.079,0.189,-0.081,1.5880,0.2430,-0.3640,287.805570,45.340549,13.611
4172746,K02531.01,,CANDIDATE,CANDIDATE,0.9960,0,0,0,0,17.699739200,1.0800000e-04,-1.0800000e-04,140.9495800,5.170000e-03,-5.170000e-03,0.1050,0.3510,-0.1050,2.76000,0.15500,-0.15500,7.5270e+02,4.510e+01,-4.510e+01,1.96,1.700e-01,-1.600e-01,523.0,,,17.73,6.18,-4.82,19.80,1,q1_q17_dr25_tce,4807.00,172.00,-172.00,4.583,0.041,-0.045,0.7420,0.0610,-0.0610,295.103910,39.268749,15.440
5174858,K02532.01,,CANDIDATE,CANDIDATE,0.9980,0,0,0,0,7.970971900,2.1830000e-05,-2.1830000e-05,134.0507000,2.320000e-03,-2.320000e-03,0.9110,0.0020,-0.6450,1.28930,0.08740,-0.08740,4.8840e+02,3.480e+01,-3.480e+01,2.27,3.400e-01,-1.600e-01,760.0,,,79.10,38.66,-18.40,17.30,1,q1_q17_dr25_tce,5237.00,157.00,-157.00,4.572,0.028,-0.112,0.8260,0.1240,-0.0570,288.029690,40.344151,15.430
11074835,K02533.01,Kepler-1270 b,CONFIRMED,CANDIDATE,0.9500,0,0,0,0,6.033555390,6.4950000e-05,-6.4950000e-05,137.1210000,7.390000e-03,-7.390000e-03,0.3500,0.1000,-0.3500,10.04900,0.24300,-0.24300,8.9500e+01,3.800e+00,-3.800e+00,3.34,7.100e-01,-5.700e-01,1598.0,,,1540.84,853.28,-539.21,26.10,1,q1_q17_dr25_tce,4924.00,74.00,-66.00,3.356,0.140,-0.126,3.5880,0.7530,-0.6160,286.715640,48.645279,13.274
1996180,K02534.01,Kepler-1271 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,3.025584940,1.2020000e-05,-1.2020000e-05,134.3674400,3.480000e-03,-3.480000e-03,0.8390,0.0350,-0.5730,3.00080,0.09110,-0.09110,1.2830e+02,5.900e+00,-5.900e+00,1.62,2.900e-01,-2.500e-01,1484.0,,,1148.47,592.81,-389.77,23.80,1,q1_q17_dr25_tce,6123.00,122.00,-134.00,4.263,0.137,-0.112,1.2630,0.2320,-0.1900,286.344300,37.411968,13.925
10407221,K02605.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,0.933746783,3.2750000e-06,-3.2750000e-06,131.5196200,3.520000e-03,-3.520000e-03,0.0070,0.2910,-0.0060,4.25500,0.11400,-0.11400,4.1750e+02,8.600e+00,-8.600e+00,1.30,1.000e-01,-1.100e-01,1309.0,,,696.63,205.15,-181.72,62.80,1,q1_q17_dr25_tce,4643.00,126.00,-140.00,4.610,0.052,-0.028,0.6630,0.0520,-0.0570,292.844480,47.550419,15.647
5991936,K02606.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,6.097403160,6.1320000e-05,-6.1320000e-05,133.3240200,8.230000e-03,-8.230000e-03,1.2051,0.4466,-0.2258,4.63500,0.46900,-0.46900,5.6850e+02,4.750e+01,-4.750e+01,45.49,3.021e+01,-5.400e+00,1826.0,,,2630.31,5648.18,-905.71,14.00,1,q1_q17_dr24_tce,8828.00,287.00,-366.00,4.227,0.052,-0.375,1.8280,1.2140,-0.2170,299.548650,41.241371,13.424
5095635,K02607.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,0.754457729,7.8100000e-07,-7.8100000e-07,134.9835220,8.950000e-04,-8.950000e-04,0.6770,0.0110,-0.5120,0.58910,0.07150,-0.07150,2.4820e+02,1.390e+01,-1.390e+01,2.07,3.200e-01,-4.000e-01,2131.0,,,4879.62,2028.19,-1843.14,31.10,1,q1_q17_dr25_tce,5561.00,83.00,-75.00,4.250,0.174,-0.101,1.1930,0.1850,-0.2260,290.684690,40.255451,14.482
6269070,K02608.01,Kepler-1288 b,CONFIRMED,CANDIDATE,0.9850,0,0,0,0,2.761223700,2.0520000e-05,-2.0520000e-05,131.6081000,5.680000e-03,-5.680000e-03,0.2380,0.2180,-0.2380,3.68100,0.18100,-0.18100,6.6800e+01,5.500e+00,-5.500e+00,1.84,4.600e-01,-8.400e-01,2017.0,,,3906.36,2880.81,-2913.18,14.20,1,q1_q17_dr25_tce,6381.00,181.00,-227.00,3.897,0.405,-0.135,2.2320,0.5500,-1.0220,285.713500,41.605885,13.321
